provisi,Negara,Tanggal,kasus,kematian,pulih,terjangkit
,Indonesia,2020-03-08,6,0,0,
,Indonesia,2021-03-04,1361098,36897,1176356,147845
,Indonesia,2021-07-16,2780803,71397,2204491,504915
,Indonesia,2022-02-14,4807778,145176,,
,Indonesia,2020-11-02,415402,14044,345566,55792
,Indonesia,2020-08-09,125396,5723,80952,38721
,Indonesia,2022-04-30,6046796,156257,,
,Indonesia,2020-11-20,488310,15678,410552,62080
,Indonesia,2022-02-22,5289414,146798,,
,Indonesia,2020-07-09,70736,3417,32651,34668
,Indonesia,2022-04-22,6043246,156040,,
,Indonesia,2021-04-18,1604348,43424,1455065,105859
,Indonesia,2020-04-09,3293,280,252,2761
,Indonesia,2022-05-04,6047491,156321,,
,Indonesia,2022-01-08,4265666,144127,,
,Indonesia,2020-11-30,538883,16945,450518,71420
,Indonesia,2021-11-14,4250855,143659,,
,Indonesia,2022-05-12,6049876,156438,,
,Indonesia,2022-07-12,6116347,156806,,
,Indonesia,2020-12-30,735124,21944,603741,109439
,Indonesia,2021-11-10,4249323,143592,,
,Indonesia,2021-03-01,1341314,36325,1151915,153074
,Indonesia,2022-08-29,6349175,157521,,
,Indonesia,2021-08-22,3979456,126372,,
,Indonesia,2020-04-30,10118,792,1522,7804
,Indonesia,2022-06-29,6086212,156731,,
,Indonesia,2021-10-19,4236287,143049,,
,Indonesia,2022-10-04,6437750,158156,,
,Indonesia,2021-02-22,1288833,34691,1096994,157148
,Indonesia,2022-08-02,6216621,157028,,
,Indonesia,2020-05-30,25773,1573,7015,17185
,Indonesia,2022-09-24,6421118,157998,,
,Indonesia,2020-10-09,324658,11677,247667,65314
,Indonesia,2021-10-24,4240019,143205,,
,Indonesia,2022-09-19,6410426,157915,,
,Indonesia,2020-08-30,172053,7343,124185,40525
,Indonesia,2020-09-30,287008,10740,214947,61321
,Indonesia,2021-07-08,2417788,63760,1994573,359455
,Indonesia,2020-05-20,19189,1242,4575,13372
,Indonesia,2020-04-20,6760,590,747,5423
,Indonesia,2021-06-29,2156465,58024,1869606,228835
,Indonesia,2022-10-11,6448220,158235,,
,Indonesia,2022-07-11,6112986,156798,,
,Indonesia,2022-06-15,6063251,156670,,
,Indonesia,2022-01-05,4264136,144109,,
,Indonesia,2020-04-05,2273,198,164,1911
,Indonesia,2021-04-17,1599763,43328,1450192,106243
,Indonesia,2022-05-23,6052764,156534,,
,Indonesia,2022-08-18,6301523,157317,,
,Indonesia,2021-09-11,4163732,138701,,
,Indonesia,2022-03-19,5956561,153599,,
,Indonesia,2020-03-26,893,78,35,780
,Indonesia,2020-09-26,271339,10308,199403,61628
,Indonesia,2022-04-26,6045043,156163,,
,Indonesia,2021-05-20,1758898,48887,1621572,88439
,Indonesia,2021-09-01,4100138,133676,,
,Indonesia,2021-07-28,3287727,88659,2640676,558392
,Indonesia,2022-10-16,6456868,158313,,
,Indonesia,2021-04-01,1517854,41054,1355578,121222
,Indonesia,2022-03-08,5800253,150831,,
,Indonesia,2021-10-28,4242532,143333,,
,Indonesia,2022-03-20,5962483,153738,,
,Indonesia,2022-03-03,5667355,149268,,
,Indonesia,2022-09-15,6402686,157849,,
,Indonesia,2021-08-31,4089801,133023,,
